model_name,win_rate_pos1,win_rate_pos2,average_win_rate,effective_win_rate,tie_rate,samples_evaluated
gpt4o-audio,0.07407407407407407,0.30864197530864196,0.19135802469135801,0.5,0.6172839506172839,81
gpt4o-audio+asr+tts,0.345679012345679,0.3950617283950617,0.37037037037037035,0.4012345679012346,0.06172839506172839,81
gemini2-flash-exp,0.37037037037037035,0.5185185185185185,0.4444444444444444,0.4567901234567901,0.024691358024691357,81
gemini2-flash-exp+asr+tts,0.4,0.4125,0.40625,0.4375,0.0625,80
typhoon2-audio,0.07407407407407407,0.04938271604938271,0.06172839506172839,0.06481481481481481,0.006172839506172839,81
llama-omni,0.2222222222222222,0.37037037037037035,0.2962962962962963,0.30246913580246915,0.012345679012345678,81
moshi,0.2839506172839506,0.19753086419753085,0.24074074074074073,0.24074074074074073,0.0,81
gpt4o-text+tts,0.41975308641975306,0.35802469135802467,0.38888888888888884,0.3950617283950617,0.012345679012345678,81
gemini2-flash-text+tts,0.35,0.4375,0.39375,0.40625,0.025,80
diva+tts,0.3125,0.25,0.28125,0.284375,0.00625,80
typhoon2-audio+tts,0.37037037037037035,0.3950617283950617,0.38271604938271603,0.40432098765432095,0.043209876543209874,81
qwen2-audio+tts,0.4875,0.3125,0.4,0.41250000000000003,0.025,80
asr+llama3+tts,0.38271604938271603,0.35802469135802467,0.37037037037037035,0.3734567901234568,0.006172839506172839,81
