model_name,win_rate_pos1,win_rate_pos2,average_win_rate,effective_win_rate,tie_rate,samples_evaluated
gpt4o-audio,0.0,0.0,0.0,0.5,1.0,81
gpt4o-audio+asr+tts,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.48765432098765427,0.5308641975308641,81
gemini2-flash-exp,0.5061728395061729,0.48148148148148145,0.49382716049382713,0.5462962962962963,0.10493827160493827,81
gemini2-flash-exp+asr+tts,0.37037037037037035,0.3333333333333333,0.35185185185185186,0.3827160493827161,0.06172839506172839,81
typhoon2-audio,0.1111111111111111,0.09876543209876543,0.10493827160493827,0.13271604938271603,0.05555555555555555,81
llama-omni,0.1375,0.1125,0.125,0.1375,0.025,80
moshi,0.0,0.0,0.0,0.0030864197530864196,0.006172839506172839,81
gpt4o-text+tts,0.6296296296296297,0.5679012345679012,0.5987654320987654,0.6141975308641975,0.030864197530864196,81
gemini2-flash-text+tts,0.48148148148148145,0.49382716049382713,0.48765432098765427,0.5432098765432098,0.1111111111111111,81
diva+tts,0.30864197530864196,0.2716049382716049,0.2901234567901234,0.2901234567901234,0.0,81
typhoon2-audio+tts,0.20987654320987653,0.16049382716049382,0.18518518518518517,0.23148148148148145,0.09259259259259259,81
qwen2-audio+tts,0.20987654320987653,0.14814814814814814,0.17901234567901234,0.2006172839506173,0.043209876543209874,81
asr+llama3+tts,0.654320987654321,0.4567901234567901,0.5555555555555556,0.558641975308642,0.006172839506172839,81
