model_name,win_rate_pos1,win_rate_pos2,average_win_rate,effective_win_rate,tie_rate,samples_evaluated
gpt4o-audio,0.07407407407407407,0.19753086419753085,0.13580246913580246,0.5,0.7283950617283951,81
gpt4o-audio+asr+tts,0.18518518518518517,0.20987654320987653,0.19753086419753085,0.2901234567901234,0.18518518518518517,81
gemini2-flash-exp,0.19753086419753085,0.3333333333333333,0.26543209876543206,0.28086419753086417,0.030864197530864196,81
gemini2-flash-exp+asr+tts,0.2345679012345679,0.2345679012345679,0.2345679012345679,0.25,0.030864197530864196,81
typhoon2-audio,0.024691358024691357,0.04938271604938271,0.037037037037037035,0.04938271604938271,0.024691358024691357,81
llama-omni,0.06172839506172839,0.04938271604938271,0.05555555555555555,0.06172839506172839,0.012345679012345678,81
moshi,0.037037037037037035,0.012345679012345678,0.024691358024691357,0.024691358024691357,0.0,81
gpt4o-text+tts,0.35802469135802467,0.2962962962962963,0.3271604938271605,0.33024691358024694,0.006172839506172839,81
gemini2-flash-text+tts,0.2962962962962963,0.2716049382716049,0.2839506172839506,0.29320987654320985,0.018518518518518517,81
diva+tts,0.20987654320987653,0.16049382716049382,0.18518518518518517,0.19135802469135801,0.012345679012345678,81
typhoon2-audio+tts,0.04938271604938271,0.1111111111111111,0.08024691358024691,0.08950617283950617,0.018518518518518517,81
qwen2-audio+tts,0.07407407407407407,0.1111111111111111,0.09259259259259259,0.09876543209876543,0.012345679012345678,81
asr+llama3+tts,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.4104938271604938,0.006172839506172839,81
