model_name,win_rate_pos1,win_rate_pos2,average_win_rate,effective_win_rate,tie_rate,samples_evaluated
gpt4o-audio,0.0625,0.0625,0.0625,0.5,0.875,80
gpt4o-audio+asr+tts,0.2222222222222222,0.14814814814814814,0.18518518518518517,0.23765432098765432,0.10493827160493827,81
gemini2-flash-exp,0.2839506172839506,0.2962962962962963,0.2901234567901234,0.3055555555555555,0.030864197530864196,81
gemini2-flash-exp+asr+tts,0.20987654320987653,0.2222222222222222,0.21604938271604937,0.2345679012345679,0.037037037037037035,81
typhoon2-audio,0.13580246913580246,0.037037037037037035,0.08641975308641975,0.09259259259259259,0.012345679012345678,81
llama-omni,0.037037037037037035,0.09876543209876543,0.06790123456790123,0.08024691358024691,0.024691358024691357,81
moshi,0.012345679012345678,0.012345679012345678,0.012345679012345678,0.018518518518518517,0.012345679012345678,81
gpt4o-text+tts,0.2345679012345679,0.2962962962962963,0.26543209876543206,0.2746913580246913,0.018518518518518517,81
gemini2-flash-text+tts,0.2222222222222222,0.25925925925925924,0.24074074074074073,0.25308641975308643,0.024691358024691357,81
diva+tts,0.32098765432098764,0.2716049382716049,0.2962962962962963,0.2993827160493827,0.006172839506172839,81
typhoon2-audio+tts,0.14814814814814814,0.12345679012345678,0.13580246913580246,0.1450617283950617,0.018518518518518517,81
qwen2-audio+tts,0.19753086419753085,0.12345679012345678,0.16049382716049382,0.17901234567901234,0.037037037037037035,81
asr+llama3+tts,0.4444444444444444,0.2839506172839506,0.3641975308641975,0.37345679012345673,0.018518518518518517,81
