model_name,win_rate_pos1,win_rate_pos2,average_win_rate,effective_win_rate,tie_rate,samples_evaluated
gpt4o-audio,0.6172839506172839,0.024691358024691357,0.32098765432098764,0.5,0.35802469135802467,81
gpt4o-audio+asr+tts,0.5061728395061729,0.08641975308641975,0.2962962962962963,0.30864197530864196,0.024691358024691357,81
gemini2-flash-exp,0.7407407407407407,0.13580246913580246,0.43827160493827155,0.4475308641975308,0.018518518518518517,81
gemini2-flash-exp+asr+tts,0.5925925925925926,0.08641975308641975,0.3395061728395061,0.345679012345679,0.012345679012345678,81
typhoon2-audio,0.2222222222222222,0.04938271604938271,0.13580246913580246,0.1419753086419753,0.012345679012345678,81
llama-omni,0.20987654320987653,0.06172839506172839,0.13580246913580246,0.13580246913580246,0.0,81
moshi,0.06172839506172839,0.012345679012345678,0.037037037037037035,0.037037037037037035,0.0,81
gpt4o-text+tts,0.37037037037037035,0.04938271604938271,0.20987654320987653,0.21296296296296297,0.006172839506172839,81
gemini2-flash-text+tts,0.6172839506172839,0.1111111111111111,0.3641975308641975,0.3672839506172839,0.006172839506172839,81
diva+tts,0.5432098765432098,0.06172839506172839,0.30246913580246915,0.3055555555555556,0.006172839506172839,81
typhoon2-audio+tts,0.4074074074074074,0.09876543209876543,0.25308641975308643,0.2592592592592593,0.012345679012345678,81
qwen2-audio+tts,0.4567901234567901,0.06172839506172839,0.25925925925925924,0.2716049382716049,0.024691358024691357,81
asr+llama3+tts,0.5555555555555556,0.06172839506172839,0.308641975308642,0.308641975308642,0.0,81
