model_name,win_rate_pos1,win_rate_pos2,average_win_rate,effective_win_rate,tie_rate,samples_evaluated
gpt4o-audio,0.0,0.0,0.0,0.5,1.0,81
gpt4o-audio+asr+tts,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.5030864197530864,0.6358024691358024,81
gemini2-flash-exp,0.4444444444444444,0.37037037037037035,0.4074074074074074,0.5277777777777778,0.24074074074074073,81
gemini2-flash-exp+asr+tts,0.3333333333333333,0.2716049382716049,0.30246913580246915,0.3734567901234568,0.1419753086419753,81
typhoon2-audio,0.14814814814814814,0.06172839506172839,0.10493827160493827,0.16358024691358025,0.11728395061728394,81
llama-omni,0.1728395061728395,0.06172839506172839,0.11728395061728394,0.12962962962962962,0.024691358024691357,81
moshi,0.0,0.012345679012345678,0.006172839506172839,0.009259259259259259,0.006172839506172839,81
gpt4o-text+tts,0.6419753086419753,0.4567901234567901,0.5493827160493827,0.5740740740740741,0.04938271604938271,81
gemini2-flash-text+tts,0.5308641975308642,0.37037037037037035,0.4506172839506173,0.5339506172839507,0.16666666666666666,81
diva+tts,0.5432098765432098,0.24691358024691357,0.3950617283950617,0.4074074074074074,0.024691358024691357,81
typhoon2-audio+tts,0.12345679012345678,0.06172839506172839,0.09259259259259259,0.12962962962962962,0.07407407407407407,81
qwen2-audio+tts,0.16049382716049382,0.1111111111111111,0.13580246913580246,0.21604938271604937,0.16049382716049382,81
asr+llama3+tts,0.8148148148148148,0.3950617283950617,0.6049382716049383,0.617283950617284,0.024691358024691357,81
