model_name,win_rate_pos1,win_rate_pos2,average_win_rate,effective_win_rate,tie_rate,samples_evaluated
gpt4o-audio,0.19753086419753085,0.2345679012345679,0.21604938271604937,0.5,0.5679012345679012,81
gpt4o-audio+asr+tts,0.25925925925925924,0.2222222222222222,0.24074074074074073,0.29320987654320985,0.10493827160493827,81
gemini2-flash-exp,0.4444444444444444,0.25925925925925924,0.35185185185185186,0.36419753086419754,0.024691358024691357,81
gemini2-flash-exp+asr+tts,0.3950617283950617,0.19753086419753085,0.2962962962962963,0.31481481481481477,0.037037037037037035,81
typhoon2-audio,0.2962962962962963,0.14814814814814814,0.2222222222222222,0.22839506172839505,0.012345679012345678,81
llama-omni,0.16049382716049382,0.07407407407407407,0.11728395061728394,0.12037037037037036,0.006172839506172839,81
moshi,0.012345679012345678,0.0,0.006172839506172839,0.015432098765432098,0.018518518518518517,81
gpt4o-text+tts,0.4444444444444444,0.20987654320987653,0.3271604938271605,0.3395061728395062,0.024691358024691357,81
gemini2-flash-text+tts,0.48148148148148145,0.2962962962962963,0.38888888888888884,0.3919753086419753,0.006172839506172839,81
diva+tts,0.654320987654321,0.32098765432098764,0.4876543209876543,0.4876543209876543,0.0,81
typhoon2-audio+tts,0.18518518518518517,0.09876543209876543,0.1419753086419753,0.14814814814814814,0.012345679012345678,81
qwen2-audio+tts,0.30864197530864196,0.19753086419753085,0.25308641975308643,0.2654320987654321,0.024691358024691357,81
asr+llama3+tts,0.7037037037037037,0.345679012345679,0.5246913580246914,0.5308641975308642,0.012345679012345678,81
